path,width,height,mode,format
..\data\raw\img100_A.jpg,578,731,RGB,JPEG
..\data\raw\img100_B.jpg,393,740,RGB,JPEG
..\data\raw\img100_C.jpg,997,844,RGB,JPEG
..\data\raw\img10100_A.jpg,1357,953,RGB,JPEG
..\data\raw\img10100_B.jpg,1373,954,RGB,JPEG
..\data\raw\img10101_A.jpg,679,685,RGB,JPEG
..\data\raw\img10101_B.jpg,674,671,RGB,JPEG
..\data\raw\img10101_C.jpg,687,691,RGB,JPEG
..\data\raw\img10101_D.jpg,685,684,RGB,JPEG
..\data\raw\img10101_E.jpg,1359,672,RGB,JPEG
..\data\raw\img10101_F.jpg,1355,677,RGB,JPEG
..\data\raw\img10102_A.jpg,675,686,RGB,JPEG
..\data\raw\img10102_B.jpg,687,689,RGB,JPEG
..\data\raw\img10102_C.jpg,689,690,RGB,JPEG
..\data\raw\img10102_D.jpg,690,687,RGB,JPEG
..\data\raw\img10102_E.jpg,1364,679,RGB,JPEG
..\data\raw\img10102_F.jpg,1352,682,RGB,JPEG
..\data\raw\img10103_A.jpg,674,687,RGB,JPEG
..\data\raw\img10103_B.jpg,684,675,RGB,JPEG
..\data\raw\img10103_C.jpg,688,690,RGB,JPEG
..\data\raw\img10103_D.jpg,690,689,RGB,JPEG
..\data\raw\img10103_E.jpg,1364,679,RGB,JPEG
..\data\raw\img10103_F.jpg,1345,683,RGB,JPEG
..\data\raw\img10104_single.jpg,2488,1517,RGB,JPEG
..\data\raw\img10105_A.jpg,1166,801,RGB,JPEG
..\data\raw\img10105_C.jpg,1186,816,RGB,JPEG
..\data\raw\img10105_C_2.jpg,1160,806,RGB,JPEG
..\data\raw\img10105_D.jpg,1171,801,RGB,JPEG
..\data\raw\img10105_D_2.jpg,1158,794,RGB,JPEG
..\data\raw\img10105_E.jpg,1160,806,RGB,JPEG
..\data\raw\img10105_F.jpg,1159,810,RGB,JPEG
..\data\raw\img10106_A.jpg,1205,319,RGB,JPEG
..\data\raw\img10106_B.jpg,1197,710,RGB,JPEG
..\data\raw\img10106_C.jpg,1188,367,RGB,JPEG
..\data\raw\img10106_D.jpg,1186,380,RGB,JPEG
..\data\raw\img10106_E.jpg,1183,952,RGB,JPEG
..\data\raw\img10106_F.jpg,1187,996,RGB,JPEG
..\data\raw\img10106_J.jpg,1185,980,RGB,JPEG
..\data\raw\img10107_A.jpg,1184,1143,RGB,JPEG
..\data\raw\img10107_B.jpg,1163,1153,RGB,JPEG
..\data\raw\img10107_C.jpg,1126,1138,RGB,JPEG
..\data\raw\img10107_D.jpg,1177,1157,RGB,JPEG
..\data\raw\img10107_E.jpg,1160,1145,RGB,JPEG
..\data\raw\img10107_F.jpg,1151,1141,RGB,JPEG
..\data\raw\img10107_G.jpg,1164,1144,RGB,JPEG
